TC	Number	Binary	Hexadecimal	Elapsed Time (s)
TC1	6980368	11010101000001100010000	6A8310
TC1	5517055	10101000010111011111111	542EFF
TC1	1336159	101000110001101011111	14635F
TC1	6750185	11001101111111111101001	66FFE9
TC1	1771937	110110000100110100001	1B09A1
TC1	360952	1011000000111111000	581F8
TC1	5672561	10101101000111001110001	568E71
TC1	916583	11011111110001100111	DFC67
TC1	2700138	1010010011001101101010	29336A
TC1	9645053	100100110010101111111101	932BFD
TC1	1181110	100100000010110110110	1205B6
TC1	1492185	101101100010011011001	16C4D9
TC1	4018595	1111010101000110100011	3D51A3
TC1	7654888	11101001100110111101000	74CDE8
TC1	7062453	11010111100001110110101	6BC3B5
TC1	2478010	1001011100111110111010	25CFBA
TC1	6134768	10111011001101111110000	5D9BF0
TC1	8420417	100000000111110001000001	807C41
TC1	2917489	1011001000010001110001	2C8471
TC1	3340773	1100101111100111100101	32F9E5
TC1	1115956	100010000011100110100	110734
TC1	9172192	100010111111010011100000	8BF4E0
TC1	6271996	10111111011001111111100	5FB3FC
TC1	8686939	100001001000110101011011	848D5B
TC1	50986	1100011100101010	C72A
TC1	9376410	100011110001001010011010	8F129A
TC1	5962327	10110101111101001010111	5AFA57
TC1	7686891	11101010100101011101011	754AEB
TC1	6615183	11001001111000010001111	64F08F
TC1	1864844	111000111010010001100	1C748C
TC1	3329962	1100101100111110101010	32CFAA
TC1	3942794	1111000010100110001010	3C298A
TC1	2614836	1001111110011000110100	27E634
TC1	7406772	11100010000010010110100	7104B4
TC1	2384190	1001000110000100111110	24613E
TC1	398347	1100001010000001011	6140B
TC1	8698503	100001001011101010000111	84BA87
TC1	9551696	100100011011111101010000	91BF50
TC1	1019556	11111000111010100100	F8EA4
TC1	1677430	110011001100001110110	199876
TC1	3479629	1101010001100001001101	35184D
TC1	9309008	100011100000101101010000	8E0B50
TC1	5266170	10100000101101011111010	505AFA
TC1	4094340	1111100111100110000100	3E7984
TC1	1754055	110101100001111000111	1AC3C7
TC1	5861132	10110010110111100001100	596F0C
TC1	4471329	10001000011101000100001	443A21
TC1	8826052	100001101010110011000100	86ACC4
TC1	7469325	11100011111100100001101	71F90D
TC1	1973172	111100001101110110100	1E1BB4
TC1	53145	1100111110011001	CF99
TC1	3897508	1110110111100010100100	3B78A4
TC1	7773386	11101101001110011001010	769CCA
TC1	6089829	10111001110110001100101	5CEC65
TC1	4223424	10000000111000111000000	4071C0
TC1	9761752	100101001111001111011000	94F3D8
TC1	7930799	11110010000001110101111	7903AF
TC1	3597495	1101101110010010110111	36E4B7
TC1	9302948	100011011111001110100100	8DF3A4
TC1	2288712	1000101110110001001000	22EC48
TC1	197187	110000001001000011	30243
TC1	5266939	10100000101110111111011	505DFB
TC1	221545	110110000101101001	36169
TC1	7957027	11110010110101000100011	796A23
TC1	3195361	1100001100000111100001	30C1E1
TC1	7106269	11011000110111011011101	6C6EDD
TC1	9633312	100100101111111000100000	92FE20
TC1	9713704	100101000011100000101000	943828
TC1	91925	10110011100010101	16715
TC1	4418686	10000110110110001111110	436C7E
TC1	9682250	100100111011110101001010	93BD4A
TC1	2583824	1001110110110100010000	276D10
TC1	4979126	10010111111100110110110	4BF9B6
